id,title,status,rating,score,favorites,load_date,airing,aired_from,aired_to
1,Cowboy Bebop,Finished Airing,R - 17+ (violence & profanity),8.76,69400,2022-03-11 19:07:31.787259,f,1998-04-03,1999-04-24
5,Cowboy Bebop: Tengoku no Tobira,Finished Airing,R - 17+ (violence & profanity),8.38,1246,2022-03-11 19:07:31.894115,f,2001-09-01,
6,Trigun,Finished Airing,PG-13 - Teens 13 or older,8.22,12924,2022-03-11 19:07:31.914921,f,1998-04-01,1998-09-30
7,Witch Hunter Robin,Finished Airing,PG-13 - Teens 13 or older,7.26,547,2022-03-11 19:07:31.951781,f,2002-07-02,2002-12-24
8,Bouken Ou Beet,Finished Airing,PG - Children,6.96,14,2022-03-11 19:07:31.980986,f,2004-09-30,2005-09-29
15,Eyeshield 21,Finished Airing,PG-13 - Teens 13 or older,7.93,1878,2022-03-11 19:07:32.000493,f,2005-04-06,2008-03-19
16,Hachimitsu to Clover,Finished Airing,PG-13 - Teens 13 or older,8.03,4027,2022-03-11 19:07:32.025509,f,2005-04-15,2005-09-27
17,Hungry Heart: Wild Striker,Finished Airing,PG-13 - Teens 13 or older,7.56,216,2022-03-11 19:07:32.054197,f,2002-09-11,2003-09-10
18,Initial D Fourth Stage,Finished Airing,PG-13 - Teens 13 or older,8.14,1101,2022-03-11 19:07:32.075921,f,2004-04-17,2006-02-18
19,Monster,Finished Airing,R+ - Mild Nudity,8.82,35961,2022-03-11 19:07:32.103602,f,2004-04-07,2005-09-28
20,Naruto,Finished Airing,PG-13 - Teens 13 or older,7.96,67581,2022-03-11 19:07:32.133262,f,2002-10-03,2007-02-08
21,One Piece,Currently Airing,PG-13 - Teens 13 or older,8.62,155935,2022-03-11 19:07:32.156265,t,1999-10-20,
22,Tennis no Ouji-sama,Finished Airing,PG-13 - Teens 13 or older,7.88,2882,2022-03-11 19:07:32.18111,f,2001-10-10,2005-03-23
23,Ring ni Kakero 1,Finished Airing,PG - Children,6.39,3,2022-03-11 19:07:32.203773,f,2004-10-06,2004-12-15
24,School Rumble,Finished Airing,PG-13 - Teens 13 or older,7.9,4934,2022-03-11 19:07:32.228788,f,2004-10-05,2005-03-29
25,Sunabouzu,Finished Airing,R - 17+ (violence & profanity),7.4,769,2022-03-11 19:07:32.249729,f,2004-10-06,2005-03-30
26,Texhnolyze,Finished Airing,R+ - Mild Nudity,7.76,4164,2022-03-11 19:07:32.275133,f,2003-04-17,2003-09-25
27,Trinity Blood,Finished Airing,R - 17+ (violence & profanity),7.3,1243,2022-03-11 19:07:32.295783,f,2005-04-29,2005-10-28
28,Yakitate!! Japan,Finished Airing,PG-13 - Teens 13 or older,7.93,838,2022-03-11 19:07:32.321104,f,2004-10-12,2006-03-14
29,Zipang,Finished Airing,PG-13 - Teens 13 or older,7.5,164,2022-03-11 19:07:32.341804,f,2004-10-08,2005-04-01
30,Neon Genesis Evangelion,Finished Airing,PG-13 - Teens 13 or older,8.34,87558,2022-03-11 19:07:32.371187,f,1995-10-04,1996-03-27
31,Neon Genesis Evangelion: Death & Rebirth,Finished Airing,R - 17+ (violence & profanity),7.45,573,2022-03-11 19:07:32.395968,f,1997-03-15,
32,Neon Genesis Evangelion: The End of Evangelion,Finished Airing,R+ - Mild Nudity,8.54,23231,2022-03-11 19:07:32.417413,f,1997-07-19,
33,Kenpuu Denki Berserk,Finished Airing,R+ - Mild Nudity,8.53,21228,2022-03-11 19:07:32.434419,f,1997-10-08,1998-04-01
43,Koukaku Kidoutai,Finished Airing,R+ - Mild Nudity,8.28,10882,2022-03-11 19:07:32.458976,f,1995-11-18,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Finished Airing,R - 17+ (violence & profanity),8.71,5804,2022-03-11 19:07:35.937726,f,1999-02-20,1999-09-22
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Finished Airing,PG-13 - Teens 13 or older,8.3,9345,2022-03-11 19:07:36.054014,f,1996-01-10,1998-09-08
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Finished Airing,R - 17+ (violence & profanity),7.56,87,2022-03-11 19:07:36.085049,f,1997-12-20,
47,Akira,Finished Airing,R+ - Mild Nudity,8.16,10930,2022-03-11 19:07:36.106055,f,1988-07-16,
48,.hack//Sign,Finished Airing,PG-13 - Teens 13 or older,6.96,1277,2022-03-11 19:07:36.129224,f,2002-04-04,2002-09-26
49,Aa! Megami-sama!,Finished Airing,PG-13 - Teens 13 or older,7.3,231,2022-03-11 19:07:36.148762,f,1993-02-21,1994-05-17
50,Aa! Megami-sama! (TV),Finished Airing,PG-13 - Teens 13 or older,7.33,1063,2022-03-11 19:07:36.171778,f,2005-01-07,2005-07-08
51,Tenshi Kinryouku,Finished Airing,R+ - Mild Nudity,6.29,175,2022-03-11 19:07:36.199819,f,2000-05-25,2000-08-25
52,Kidou Tenshi Angelic Layer,Finished Airing,PG-13 - Teens 13 or older,7.26,263,2022-03-11 19:07:36.229759,f,2001-04-01,2001-09-23
53,Ai Yori Aoshi,Finished Airing,PG-13 - Teens 13 or older,7.12,423,2022-03-11 19:07:36.253759,f,2002-04-11,2002-09-26
54,Appleseed (Movie),Finished Airing,R - 17+ (violence & profanity),7.08,161,2022-03-11 19:07:36.283759,f,2004-04-17,
55,Arc the Lad,Finished Airing,R - 17+ (violence & profanity),6.51,13,2022-03-11 19:07:36.303759,f,1999-04-05,1999-09-11
56,Avenger,Finished Airing,R - 17+ (violence & profanity),5.88,20,2022-03-11 19:07:36.32976,f,2003-10-02,2003-12-25
57,Beck,Finished Airing,R - 17+ (violence & profanity),8.3,7511,2022-03-11 19:07:36.359759,f,2004-10-07,2005-03-31
58,Blue Gender,Finished Airing,R+ - Mild Nudity,7.03,371,2022-03-11 19:07:36.379759,f,1999-10-08,2000-03-31
59,Chobits,Finished Airing,PG-13 - Teens 13 or older,7.41,3479,2022-03-11 19:07:36.40576,f,2002-04-03,2002-09-25
60,Chrno Crusade,Finished Airing,R - 17+ (violence & profanity),7.63,1865,2022-03-11 19:07:36.42576,f,2003-11-25,2004-06-10
61,D.N.Angel,Finished Airing,PG-13 - Teens 13 or older,7.18,1242,2022-03-11 19:07:36.448638,f,2003-04-03,2003-09-25
62,D.C.: Da Capo,Finished Airing,PG-13 - Teens 13 or older,6.74,179,2022-03-11 19:07:36.471411,f,2003-07-05,2003-12-27
63,DearS,Finished Airing,R+ - Mild Nudity,6.58,328,2022-03-11 19:07:36.48925,f,2004-07-11,2004-09-26
64,Rozen Maiden,Finished Airing,PG-13 - Teens 13 or older,7.42,1838,2022-03-11 19:07:36.514929,f,2004-10-08,2004-12-24
65,Rozen Maiden: Träumend,Finished Airing,PG-13 - Teens 13 or older,7.63,439,2022-03-11 19:07:36.545254,f,2005-10-21,2006-01-27
66,Azumanga Daioh,Finished Airing,PG-13 - Teens 13 or older,7.97,5180,2022-03-11 19:07:36.566926,f,2002-04-09,2002-10-01
67,Basilisk: Kouga Ninpou Chou,Finished Airing,R - 17+ (violence & profanity),7.56,1302,2022-03-11 19:07:36.591785,f,2005-04-13,2005-09-21
68,Black Cat (TV),Finished Airing,PG-13 - Teens 13 or older,7.35,1709,2022-03-11 19:07:36.622453,f,2005-10-07,2006-03-31
69,Cluster Edge,Finished Airing,PG-13 - Teens 13 or older,6.33,12,2022-03-11 19:07:40.091293,f,2005-10-05,2006-03-29
71,Full Metal Panic!,Finished Airing,R - 17+ (violence & profanity),7.62,4137,2022-03-11 19:07:40.119306,f,2002-01-08,2002-06-18
72,Full Metal Panic? Fumoffu,Finished Airing,PG-13 - Teens 13 or older,8.04,2822,2022-03-11 19:07:40.139788,f,2003-08-26,2003-11-18
73,Full Metal Panic! The Second Raid,Finished Airing,R - 17+ (violence & profanity),7.94,1241,2022-03-11 19:07:40.171625,f,2005-07-14,2005-10-20
74,Gakuen Alice,Finished Airing,G - All Ages,7.64,1300,2022-03-11 19:07:40.200412,f,2004-10-30,2005-05-14
75,Soukyuu no Fafner: Dead Aggressor,Finished Airing,PG-13 - Teens 13 or older,7.27,251,2022-03-11 19:07:40.226486,f,2004-07-05,2004-12-27
76,Mahou Shoujo Lyrical Nanoha,Finished Airing,PG-13 - Teens 13 or older,7.42,986,2022-03-11 19:07:40.250272,f,2004-10-03,2004-12-26
77,Mahou Shoujo Lyrical Nanoha A's,Finished Airing,PG-13 - Teens 13 or older,7.97,954,2022-03-11 19:07:40.278285,f,2005-10-02,2005-12-25
79,Shuffle!,Finished Airing,R+ - Mild Nudity,7.05,1415,2022-03-11 19:07:40.309282,f,2005-07-08,2006-01-06
80,Mobile Suit Gundam,Finished Airing,PG-13 - Teens 13 or older,7.76,1867,2022-03-11 19:07:40.333282,f,1979-04-07,1980-01-26
81,Mobile Suit Gundam: The 08th MS Team,Finished Airing,PG-13 - Teens 13 or older,8.01,937,2022-03-11 19:07:40.351282,f,1996-01-25,1999-07-25
82,Mobile Suit Gundam 0080: War in the Pocket,Finished Airing,PG-13 - Teens 13 or older,7.93,797,2022-03-11 19:07:40.369282,f,1989-03-25,1989-08-25
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Finished Airing,PG-13 - Teens 13 or older,6.77,3,2022-03-11 19:07:40.390282,f,1998-08-01,
84,Mobile Suit Gundam 0083: Stardust Memory,Finished Airing,PG-13 - Teens 13 or older,7.27,227,2022-03-11 19:07:40.412283,f,1991-05-23,1992-09-24
85,Mobile Suit Zeta Gundam,Finished Airing,PG-13 - Teens 13 or older,7.89,1848,2022-03-11 19:07:40.441298,f,1985-03-02,1986-02-22
86,Mobile Suit Gundam ZZ,Finished Airing,PG-13 - Teens 13 or older,6.65,125,2022-03-11 19:07:40.460105,f,1986-03-01,1987-01-31
87,Mobile Suit Gundam: Char's Counterattack,Finished Airing,PG-13 - Teens 13 or older,7.66,341,2022-03-11 19:07:40.482108,f,1988-03-12,
88,Mobile Suit Gundam F91,Finished Airing,PG-13 - Teens 13 or older,6.65,64,2022-03-11 19:07:40.503973,f,1991-03-16,
89,Mobile Suit Victory Gundam,Finished Airing,PG-13 - Teens 13 or older,6.74,105,2022-03-11 19:07:40.524857,f,1993-04-02,1994-03-25
90,Mobile Suit Gundam Wing,Finished Airing,PG-13 - Teens 13 or older,7.7,2219,2022-03-11 19:07:40.546888,f,1995-04-07,1996-03-29
91,Mobile Suit Gundam Wing: Endless Waltz,Finished Airing,PG-13 - Teens 13 or older,7.75,171,2022-03-11 19:07:40.564838,f,1997-01-25,1997-07-25
92,After War Gundam X,Finished Airing,PG-13 - Teens 13 or older,7.32,173,2022-03-11 19:07:40.590701,f,1996-04-05,1996-12-28
93,Mobile Suit Gundam SEED,Finished Airing,R - 17+ (violence & profanity),7.76,3298,2022-03-11 19:07:40.620487,f,2002-10-05,2003-09-27
94,Mobile Suit Gundam SEED Destiny,Finished Airing,R - 17+ (violence & profanity),7.2,1017,2022-03-11 19:07:40.645281,f,2004-10-09,2005-10-01
95,Turn A Gundam,Finished Airing,PG-13 - Teens 13 or older,7.71,804,2022-03-11 19:07:40.669328,f,1999-04-09,2000-04-14
96,Mobile Fighter G Gundam,Finished Airing,PG-13 - Teens 13 or older,7.56,875,2022-03-11 19:07:44.143926,f,1994-04-01,1995-03-31
97,Last Exile,Finished Airing,PG-13 - Teens 13 or older,7.81,1741,2022-03-11 19:07:44.178938,f,2003-04-08,2003-09-30
98,Mai-HiME,Finished Airing,PG-13 - Teens 13 or older,7.43,1140,2022-03-11 19:07:44.201936,f,2004-09-30,2005-03-31
99,Mai-Otome,Finished Airing,PG-13 - Teens 13 or older,7.29,298,2022-03-11 19:07:44.219935,f,2005-10-07,2006-03-31
100,Shin Shirayuki-hime Densetsu Prétear,Finished Airing,PG-13 - Teens 13 or older,7.17,380,2022-03-11 19:07:44.239955,f,2001-04-04,2001-06-27
101,Air,Finished Airing,PG-13 - Teens 13 or older,7.29,2490,2022-03-11 19:07:44.264063,f,2005-01-07,2005-03-25
102,Aishiteruze Baby★★,Finished Airing,PG-13 - Teens 13 or older,7.46,512,2022-03-11 19:07:44.285075,f,2004-04-03,2004-10-09
103,Akazukin Chacha,Finished Airing,G - All Ages,7.4,79,2022-03-11 19:07:44.309101,f,1994-01-07,1995-06-30
104,Ayashi no Ceres,Finished Airing,R - 17+ (violence & profanity),7.21,457,2022-03-11 19:07:44.331995,f,2000-04-20,2000-09-28
105,Boys Be...,Finished Airing,PG-13 - Teens 13 or older,6.42,34,2022-03-11 19:07:44.354788,f,2000-04-11,2000-07-04
106,Hana yori Dango,Finished Airing,PG-13 - Teens 13 or older,7.64,717,2022-03-11 19:07:44.379628,f,1996-09-08,1997-08-31
107,Ou Dorobou Jing,Finished Airing,PG-13 - Teens 13 or older,7.21,195,2022-03-11 19:07:44.401522,f,2002-05-15,2002-08-14
108,Ou Dorobou Jing in Seventh Heaven,Finished Airing,PG-13 - Teens 13 or older,7.27,20,2022-03-11 19:07:44.424257,f,2004-01-21,2004-04-28
109,Bakuretsu Tenshi,Finished Airing,PG-13 - Teens 13 or older,6.8,219,2022-03-11 19:07:44.44698,f,2004-04-07,2004-09-15
110,Chuuka Ichiban!,Finished Airing,PG-13 - Teens 13 or older,7.61,101,2022-03-11 19:07:44.475524,f,1997-04-27,1998-09-13
111,Corrector Yui,Finished Airing,PG - Children,6.85,47,2022-03-11 19:07:44.504182,f,1999-04-09,2000-10-20
112,Chou Henshin Cosprayers,Finished Airing,PG-13 - Teens 13 or older,4.87,6,2022-03-11 19:07:44.526786,f,2004-01-12,2004-03-01
113,Uchuu no Stellvia,Finished Airing,PG-13 - Teens 13 or older,7.36,115,2022-03-11 19:07:44.545781,f,2003-04-03,2003-09-25
114,Sakigake!! Cromartie Koukou,Finished Airing,PG-13 - Teens 13 or older,7.91,1488,2022-03-11 19:07:44.598706,f,2003-10-03,2004-03-26
115,El Hazard: The Alternative World,Finished Airing,PG-13 - Teens 13 or older,6.81,9,2022-03-11 19:07:44.619706,f,1998-01-08,1998-03-26
116,El Hazard: The Wanderers,Finished Airing,PG-13 - Teens 13 or older,6.95,32,2022-03-11 19:07:44.640706,f,1995-10-06,1996-03-29
117,El Hazard: The Magnificent World,Finished Airing,PG-13 - Teens 13 or older,7.29,89,2022-03-11 19:07:44.671714,f,1995-05-26,1996-01-25
118,El Hazard 2: The Magnificent World,Finished Airing,PG-13 - Teens 13 or older,6.82,5,2022-03-11 19:07:44.69469,f,1997-03-21,1997-10-25
119,Final Approach,Finished Airing,PG-13 - Teens 13 or older,6.53,43,2022-03-11 19:07:44.724757,f,2004-10-03,2004-12-26
120,Fruits Basket,Finished Airing,PG-13 - Teens 13 or older,7.68,8637,2022-03-11 19:07:44.750543,f,2001-07-05,2001-12-27
121,Fullmetal Alchemist,Finished Airing,R - 17+ (violence & profanity),8.12,24311,2022-03-11 19:07:48.416921,f,2003-10-04,2004-10-02
122,Full Moon wo Sagashite,Finished Airing,PG-13 - Teens 13 or older,7.94,1670,2022-03-11 19:07:48.450996,f,2002-04-06,2003-03-29
123,Fushigi Yuugi,Finished Airing,PG-13 - Teens 13 or older,7.62,1926,2022-03-11 19:07:48.724639,f,1995-04-06,1996-03-28
124,Fushigi Yuugi: Eikouden,Finished Airing,PG-13 - Teens 13 or older,6.84,40,2022-03-11 19:07:48.760639,f,2001-12-21,2002-06-25
125,Futakoi,Finished Airing,PG-13 - Teens 13 or older,6.46,21,2022-03-11 19:07:48.785639,f,2004-10-06,2004-12-29
126,Futakoi Alternative,Finished Airing,PG-13 - Teens 13 or older,6.88,70,2022-03-11 19:07:48.810545,f,2005-04-07,2005-06-30
127,Gate Keepers,Finished Airing,PG-13 - Teens 13 or older,6.93,52,2022-03-11 19:07:48.835409,f,2000-04-03,2000-09-18
128,Gate Keepers 21,Finished Airing,PG-13 - Teens 13 or older,6.76,19,2022-03-11 19:07:48.860416,f,2002-04-24,2003-01-08
129,Gensoumaden Saiyuuki,Finished Airing,R - 17+ (violence & profanity),7.57,750,2022-03-11 19:07:48.885411,f,2000-04-04,2001-03-27
130,Saiyuuki Reload,Finished Airing,PG-13 - Teens 13 or older,7.39,102,2022-03-11 19:07:48.910424,f,2003-10-02,2004-03-25
131,Saiyuuki Reload Gunlock,Finished Airing,PG-13 - Teens 13 or older,7.4,44,2022-03-11 19:07:48.934434,f,2004-04-02,2004-09-24
132,GetBackers,Finished Airing,PG-13 - Teens 13 or older,7.59,832,2022-03-11 19:07:48.967746,f,2002-10-05,2003-09-20
133,Green Green,Finished Airing,R+ - Mild Nudity,6.17,214,2022-03-11 19:07:49.009564,f,2003-07-12,2003-09-27
134,Gunslinger Girl,Finished Airing,R - 17+ (violence & profanity),7.4,1087,2022-03-11 19:07:49.034843,f,2003-10-09,2004-02-19
135,Hikaru no Go,Finished Airing,PG-13 - Teens 13 or older,8.08,2169,2022-03-11 19:07:49.061774,f,2001-10-10,2003-03-26
136,Hunter x Hunter,Finished Airing,PG-13 - Teens 13 or older,8.4,9353,2022-03-11 19:07:49.089793,f,1999-10-16,2001-03-31
137,Hunter x Hunter: Original Video Animation,Finished Airing,PG-13 - Teens 13 or older,8.31,357,2022-03-11 19:07:49.120478,f,2002-01-17,2002-04-17
138,Hunter x Hunter: Greed Island,Finished Airing,PG-13 - Teens 13 or older,8.19,263,2022-03-11 19:07:49.145302,f,2003-02-05,2003-04-16
139,Hunter x Hunter: Greed Island Final,Finished Airing,PG-13 - Teens 13 or older,8.26,224,2022-03-11 19:07:49.165145,f,2004-03-03,2004-08-18
141,Jinki:Extend,Finished Airing,R - 17+ (violence & profanity),6.11,10,2022-03-11 19:07:49.197643,f,2005-01-06,2005-03-24
142,Kamikaze Kaitou Jeanne,Finished Airing,PG-13 - Teens 13 or older,7.46,445,2022-03-11 19:07:49.227492,f,1999-02-13,2000-01-29
143,Kannazuki no Miko,Finished Airing,PG-13 - Teens 13 or older,6.83,681,2022-03-11 19:07:49.245471,f,2004-10-02,2004-12-18
