anime_id,watching,completed,on_hold,dropped,plan_to_watch,total,load_date
87,607,30801,297,200,8708,40613,2022-03-11 19:07:53.053047
51,885,34021,783,1374,8965,46028,2022-03-11 19:07:53.238239
22,13342,85223,14078,13707,36020,162370,2022-03-11 19:07:53.410554
715,176,2672,109,119,1838,4914,2022-03-12 17:20:07.944414
718,303,3331,203,266,2567,6670,2022-03-12 17:20:08.148389
719,767,26085,397,687,6615,34551,2022-03-12 17:20:08.313402
731,877,50547,423,334,13116,65297,2022-03-12 17:20:09.673448
743,1668,75747,795,476,28124,106810,2022-03-12 17:20:10.800026
759,4364,151881,1795,741,84694,243475,2022-03-12 17:20:13.04526
767,202,4490,134,116,2860,7802,2022-03-12 17:20:14.2555
780,481,51552,216,251,3422,55922,2022-03-12 17:20:15.501496
789,1487,23369,1513,1835,15582,43786,2022-03-12 17:20:16.617406
796,54,960,28,66,723,1831,2022-03-12 17:20:22.283016
797,181,6893,144,122,1867,9207,2022-03-12 17:20:24.959014
798,518,4804,421,445,6735,12923,2022-03-12 17:20:25.228022
799,239,2289,271,425,2740,5964,2022-03-12 17:20:25.486049
800,1348,11005,1214,1320,16813,31700,2022-03-12 17:20:28.867212
801,7925,123186,5943,2353,68695,208102,2022-03-12 17:20:29.042211
807,494,32546,432,232,9836,43540,2022-03-12 17:20:32.82841
808,215,3528,158,162,2020,6083,2022-03-12 17:20:33.193412
810,143,1249,165,264,1361,3182,2022-03-12 17:20:36.470692
811,736,15470,623,575,7058,24462,2022-03-12 17:20:36.645687
812,1079,12428,1106,1624,12215,28452,2022-03-12 17:20:39.61487
813,41672,924169,23228,27969,53518,1070556,2022-03-12 17:20:39.787999
814,164,11631,94,136,2282,14307,2022-03-12 17:20:40.142999
817,467,4704,400,524,3397,9492,2022-03-12 17:20:51.064571
819,735,30873,335,467,7902,40312,2022-03-12 17:20:55.259402
820,29519,61669,17196,6969,157772,273125,2022-03-12 17:20:55.446406
821,565,25077,272,287,6250,32451,2022-03-12 17:20:55.605402
833,581,6010,511,633,4504,12239,2022-03-12 17:20:56.555679
840,770,9332,609,686,6176,17573,2022-03-12 17:20:57.675681
850,2715,38987,2314,4017,14194,62227,2022-03-12 17:20:58.882758
858,254,1427,231,400,2058,4370,2022-03-12 17:21:03.094535
860,1562,24302,1812,2539,11117,41332,2022-03-12 17:21:10.500525
863,1484,17056,1317,2184,12086,34127,2022-03-12 17:21:11.123523
864,199,7987,142,167,3060,11555,2022-03-12 17:21:11.305523
868,249,13416,212,122,4092,18091,2022-03-12 17:21:11.944851
869,268,13861,214,124,4087,18554,2022-03-12 17:21:14.636992
870,351,14016,207,228,4074,18876,2022-03-12 17:21:18.08033
872,1591,6740,1513,1332,16148,27324,2022-03-12 17:21:18.24833
873,2389,43780,3048,3750,17401,70368,2022-03-12 17:21:18.419333
879,1777,12422,1829,2236,20731,38995,2022-03-12 17:21:19.341329
887,72,3211,41,65,1078,4467,2022-03-12 17:21:20.584082
895,590,93895,331,282,5433,100531,2022-03-12 17:21:21.814083
903,774,108688,364,294,5876,115996,2022-03-12 17:21:23.016699
